Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
Vérifié;FRANCE;47N27,163;3W02,107;WGS 84;;Quiberon
CDASM 56;AMZER ZO;47N27,447;3W20,479;WGS 84;;
NARCOSE 29;AMZER ZO;47N27,507;3W20,397;ED 50;;
CDASM 56;LUSER;47N27,639;3W20,581;WGS 84;;
CDASM 56;SETESDAL / STANDFORD;47N27,837;3W20,496;ED 50;;
NARCOSE 29;STANDFORD;47N27,840;3W20,500;ED 50;;
NARCOSE 29;ANGERS;47N27,877;2W58,978;ED 50;;
CAP INFO 98;épave;47N28,184;4W35,772;ED 50;;
CAP INFO 98;épave;47N28,235;4W27,185;ED 50;;
NARCOSE 29;BON SONGE;47N28,560;3W26,631;ED 50;;
NARCOSE 29;BON SONGE;47N28,560;3W26,631;;65 / ;Groix-Belle Ile
NARCOSE 29;BOURBAKI;47N29,000;3W25,000;ED 50;;
CAP INFO 98;AMOUR DU MARIN;47N29,652;4W48,611;ED 50;;
NARCOSE 29;BAYUDE;47N30,000;4W00,000;ED 50;;
CDASM 56;DAVID (Caseyeur);47N30,375;3W17,368;WGS 84;;
CAP INFO 98;épave;47N30,382;4W30,447;ED 50;;
NARCOSE 29;DAVID;47N30,430;3W17,288;ED 50;;
Vérifié;NANN SMITH;47N30,540;3W13,658;WGS 84;;Quiberon
NARCOSE 29;L'AVENTURIER;47N30,800;3W26,418;ED 50;;
Vérifié;THRACIA;47N30,815;3W17,405;WGS 84;40 /3;
NARCOSE 29;THRACIA;47N30,870;3W17,325;ED 50;;
CDASM 56;THRACIA;47N30,896;3W17,324;ED 50;;
NARCOSE 29;NYLAND;47N31,137;3W12,379;ED 50;;
CAP INFO 98;épave;47N31,139;5W05,700;ED 50;;
CDASM 56;LE QUATRE;47N31,148;3W12,367;ED 50;;
NARCOSE 29;BUGALET;47N31,251;3W05,390;ED 50;;
CAP INFO 98;clipper;47N31,525;3W37,622;ED 50;;
CAP INFO 98;LA LICORNE;47N32,340;3W58,699;ED 50;;
Vérifié;PONTOPOROS;47N32,778;3W14,512;WGS 84;35 / 2;Groix
CAP INFO 98;LA LICORNE;47N32,869;3W59,325;ED 50;;
CAP INFO 98;PENMINE;47N32,896;3W57,490;ED 50;;
Mec Groix;GREC;47N32,952;3W14,245;;;
NARCOSE 29;SALAMIS;47N33,060;3W54,360;ED 50;;
CDASM 56;ENCHANTERESSE;47N33,544;2W54,862;WGS 84;;
CAP INFO 98;épave;47N34,102;4W17,185;ED 50;;
NARCOSE 29;BAYNAEN;47N34,295;3W39,558;ED 50;;
LIVRE MAURETTE;BAYNAEN;47N34,295;3W39,558;? (ED 50);;
CAP INFO 98;BAYNAEN;47N34,302;3W39,463;ED 50;;
NARCOSE 29;DISHAVAL;47N35,000;3W25,000;ED 50;;
CAP INFO 98;JABADAO;47N35,200;4W43,499;ED 50;;
NARCOSE 29;LE VENGEUR;47N35,523;3W18,767;ED 50;;
NARCOSE 29;PLM 3;47N35,600;3W27,705;ED 50;;
NARCOSE 29;BERNADETTE;47N35,852;3W47,796;ED 50;;
NARCOSE 29;NATHALIE CHANTAL;47N35,885;3W23,614;ED 50;;
CAP INFO 98;épave;47N36,192;5W07,030;ED 50;;
CAP INFO 98;épave;47N36,300;4W23,217;ED 50;;
